Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1649.2997860000005
FDW14,OUT017,1435.9121343750003
NCN55,OUT010,584.7577647727276
FDQ58,OUT017,2649.1102324324333
FDY38,OUT027,6280.89088
FDH56,OUT046,1922.149381714285
FDL48,OUT018,713.8586545454546
FDC48,OUT027,2517.8820884848496
FDN33,OUT045,1879.2570116129036
FDA36,OUT017,2752.9709346534646
FDT44,OUT017,1922.149381714285
FDQ56,OUT045,1435.9121343750003
NCC54,OUT019,584.7577647727276
FDU11,OUT049,2142.743570940171
DRL59,OUT013,713.8586545454546
FDM24,OUT049,2286.4132673684226
FDI57,OUT045,3130.004904950494
DRC12,OUT018,2893.839825899281
NCM42,OUT027,3242.0620715328478
FDA46,OUT010,482.69954262295084
FDA31,OUT013,2778.589317525773
NCJ31,OUT035,3737.295775182482
FDG52,OUT046,798.2176035398228
NCL19,OUT019,281.4820818181817
FDS10,OUT035,3384.108064242422
FDX22,OUT010,584.7577647727276
NCF19,OUT035,798.2176035398228
NCE06,OUT046,2503.501336448598
DRC27,OUT046,3643.519725984251
FDE21,OUT035,1922.149381714285
NCR42,OUT019,92.67548155339806
FDX51,OUT018,2893.839825899281
NCR06,OUT018,507.0464036697249
FDU31,OUT027,5329.314724444446
FDU59,OUT017,2503.501336448598
FDR03,OUT027,5329.314724444446
FDS49,OUT027,2517.8820884848496
FDD48,OUT010,281.4820818181817
NCF18,OUT017,2939.348476190475
NCD43,OUT027,2517.8820884848496
NCD54,OUT018,1752.2524400000002
FDY19,OUT010,281.4820818181817
NCY54,OUT017,2778.589317525773
NCL19,OUT018,2232.8470218487396
FDP23,OUT010,584.7577647727276
FDC26,OUT013,1649.2997860000005
FDR14,OUT010,165.91858165137606
NCS41,OUT035,3384.108064242422
FDF41,OUT035,3737.295775182482
FDU34,OUT046,1987.251048648648
DRH11,OUT046,935.0323883040937
FDM03,OUT013,1461.8437959999997
FDS31,OUT017,3384.108064242422
FDJ20,OUT017,2142.743570940171
FDV44,OUT027,5329.314724444446
FDG02,OUT049,2752.9709346534646
FDA09,OUT013,3259.562084905661
FDT04,OUT013,507.0464036697249
FDL58,OUT019,584.7577647727276
FDE52,OUT045,1435.9121343750003
FDW12,OUT035,2286.4132673684226
FDL51,OUT017,3643.519725984251
NCY42,OUT027,3242.0620715328478
FDR07,OUT017,1573.0706258064513
FDN40,OUT045,2286.4132673684226
FDB35,OUT027,2517.8820884848496
FDA22,OUT017,2286.4132673684226
NCL06,OUT046,4034.300306896553
FDI35,OUT013,3384.108064242422
NCW42,OUT045,4340.218358415842
NCX06,OUT049,2778.589317525773
FDC37,OUT027,2517.8820884848496
FDZ14,OUT018,1752.2524400000002
DRG49,OUT049,3454.0625591549274
NCG06,OUT045,4034.300306896553
DRC36,OUT045,3259.562084905661
FDV21,OUT019,281.4820818181817
FDB53,OUT046,3053.099877777778
DRP47,OUT019,584.7577647727276
FDA14,OUT013,3053.099877777778
DRC24,OUT035,2644.4778427083343
FDW21,OUT018,1372.6884907407414
NCH29,OUT046,1682.212238235294
FDU58,OUT013,2893.839825899281
FDY27,OUT017,2552.005235185187
FDV56,OUT035,1682.212238235294
FDT59,OUT046,3945.432567213116
FDB23,OUT046,3945.432567213116
FDR49,OUT045,798.2176035398228
FDB03,OUT010,584.7577647727276
FDN39,OUT045,2453.7477006993013
FDX02,OUT027,5329.314724444446
FDQ16,OUT027,2517.8820884848496
FDU35,OUT018,1372.6884907407414
NCT29,OUT013,1987.251048648648
FDZ27,OUT046,798.2176035398228
FDN57,OUT017,2309.200798
FDA03,OUT018,2232.8470218487396
FDZ36,OUT045,3384.108064242422
NCU05,OUT013,1284.7897668711648
FDT39,OUT018,2232.8470218487396
FDK60,OUT017,1461.8437959999997
FDZ25,OUT017,3053.099877777778
FDG12,OUT046,2243.6695967213113
