Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1850.8125
FDW14,OUT017,1581.8125
NCN55,OUT010,1888.8125
FDQ58,OUT017,2603.8125
FDY38,OUT027,5181.3125
FDH56,OUT046,1918.3125
FDL48,OUT018,596.0
FDC48,OUT027,2773.3125
FDN33,OUT045,1510.8125
FDA36,OUT017,3076.8125
FDT44,OUT017,1991.8125
FDQ56,OUT045,1300.8125
NCC54,OUT019,1854.3125
FDU11,OUT049,2042.8125
DRL59,OUT013,886.8125
FDM24,OUT049,2562.8125
FDI57,OUT045,3084.8125
DRC12,OUT018,2758.0
NCM42,OUT027,3191.3125
FDA46,OUT010,1129.0625
FDA31,OUT013,2794.8125
NCJ31,OUT035,3875.5
FDG52,OUT046,798.3125
NCL19,OUT019,382.3125
FDS10,OUT035,3024.5
FDX22,OUT010,1456.0625
NCF19,OUT035,915.5
NCE06,OUT046,2526.8125
DRC27,OUT046,3839.3125
FDE21,OUT035,2021.5
NCR42,OUT019,-1351.6875
FDX51,OUT018,2865.0
NCR06,OUT018,427.0
FDU31,OUT027,4944.3125
FDU59,OUT017,2706.8125
FDR03,OUT027,4771.3125
FDS49,OUT027,2754.3125
FDD48,OUT010,-74.9375
NCF18,OUT017,3110.8125
NCD43,OUT027,3099.3125
NCD54,OUT018,1988.0
FDY19,OUT010,-37.9375
NCY54,OUT017,2807.8125
NCL19,OUT018,2021.0
FDP23,OUT010,1532.0625
FDC26,OUT013,1812.8125
FDR14,OUT010,-1047.9375
NCS41,OUT035,3034.5
FDF41,OUT035,4037.5
FDU34,OUT046,1996.3125
DRH11,OUT046,914.3125
FDM03,OUT013,1756.8125
FDS31,OUT017,3050.8125
FDJ20,OUT017,2094.8125
FDV44,OUT027,4498.3125
FDG02,OUT049,3100.8125
FDA09,OUT013,2912.8125
FDT04,OUT013,684.8125
FDL58,OUT019,2303.3125
FDE52,OUT045,1457.8125
FDW12,OUT035,2508.5
FDL51,OUT017,3553.8125
NCY42,OUT027,3687.3125
FDR07,OUT017,1653.8125
FDN40,OUT045,2368.8125
FDB35,OUT027,2952.3125
FDA22,OUT017,2736.8125
NCL06,OUT046,4110.8125
FDI35,OUT013,2914.8125
NCW42,OUT045,3412.3125
NCX06,OUT049,2937.8125
FDC37,OUT027,3189.3125
FDZ14,OUT018,1729.0
DRG49,OUT049,3945.8125
NCG06,OUT045,3960.3125
DRC36,OUT045,2725.8125
FDV21,OUT019,58.3125
FDB53,OUT046,2352.3125
DRP47,OUT019,2040.3125
FDA14,OUT013,2348.8125
DRC24,OUT035,2565.5
FDW21,OUT018,1415.0
NCH29,OUT046,1555.8125
FDU58,OUT013,3084.8125
FDY27,OUT017,2941.8125
FDV56,OUT035,1953.5
FDT59,OUT046,3653.3125
FDB23,OUT046,3626.3125
FDR49,OUT045,690.8125
FDB03,OUT010,1911.0625
FDN39,OUT045,2620.8125
FDX02,OUT027,4981.3125
FDQ16,OUT027,3183.3125
FDU35,OUT018,1333.0
NCT29,OUT013,1958.8125
FDZ27,OUT046,824.3125
FDN57,OUT017,2341.8125
FDA03,OUT018,2100.0
FDZ36,OUT045,2923.8125
NCU05,OUT013,1322.8125
FDT39,OUT018,2182.0
FDK60,OUT017,1723.8125
FDZ25,OUT017,2860.8125
FDG12,OUT046,2038.3125
DRB01,OUT019,1127.3125
NCC43,OUT027,5377.3125
FDX13,OUT019,2038.3125
FDM22,OUT049,1032.8125
FDJ03,OUT027,2308.3125
FDU14,OUT018,3672.0
FDB33,OUT010,624.0625
FDP27,OUT046,3000.3125
FDO38,OUT010,-673.9375
FDE28,OUT027,5153.3125
FDO27,OUT035,1702.5
DRL23,OUT027,3162.3125
FDS28,OUT046,964.3125
FDX24,OUT013,1544.8125
FDZ02,OUT035,1750.5
FDL46,OUT045,1808.8125
FDS60,OUT027,4290.3125
NCO06,OUT017,633.3125
FDO16,OUT035,1524.5
FDC60,OUT049,1540.8125
FDA48,OUT018,3191.0
FDZ36,OUT027,4455.3125
FDK27,OUT045,1874.8125
FDW23,OUT018,370.0
FDM14,OUT018,1503.0
FDM14,OUT013,1784.8125
FDW60,OUT018,2605.0
FDE21,OUT013,1907.8125
NCM42,OUT035,1881.5
FDY59,OUT010,-375.9375
DRI49,OUT049,1373.8125
FDT28,OUT019,511.3125
FDQ22,OUT018,401.0
FDR60,OUT049,1328.8125
FDC50,OUT019,-395.6875
FDV24,OUT013,2451.8125
DRF48,OUT010,1029.0625
FDQ47,OUT046,638.3125
DRN36,OUT049,1659.8125
NCY06,OUT035,2173.5
FDE52,OUT035,1661.5
NCB54,OUT045,1936.3125
NCF31,OUT035,2547.5
FDJ08,OUT027,4442.3125
NCC07,OUT017,1787.8125
NCD19,OUT027,2355.3125
FDL46,OUT049,2008.8125
FDM20,OUT045,3830.8125
NCI06,OUT010,920.8125
DRM11,OUT035,4216.5
NCH07,OUT018,2203.0
FDS23,OUT013,2078.8125
FDO49,OUT018,599.0
FDS35,OUT049,1158.8125
DRK39,OUT045,1270.8125
DRI39,OUT049,1031.8125
FDV04,OUT017,2640.8125
NCN14,OUT035,3007.5
FDH08,OUT013,3686.8125
FDS20,OUT046,2906.3125
FDV40,OUT049,1352.8125
FDZ48,OUT010,-143.9375
FDS24,OUT027,2912.3125
FDK44,OUT049,2856.8125
FDS48,OUT045,2338.8125
FDK26,OUT010,1111.0625
FDD23,OUT045,2974.8125
NCH54,OUT017,2636.3125
NCP14,OUT010,-250.1875
FDM60,OUT010,-1179.9375
FDV24,OUT017,2515.8125
FDH08,OUT018,3340.0
FDS12,OUT027,3456.3125
FDR39,OUT027,4313.3125
FDP12,OUT027,2127.3125
DRF60,OUT027,5182.3125
FDC09,OUT035,1852.5
FDF50,OUT018,2877.0
FDG28,OUT035,4058.5
NCE19,OUT017,981.8125
NCM53,OUT010,-198.1875
NCN18,OUT049,1849.8125
FDF32,OUT035,3311.5
FDF11,OUT013,3877.8125
DRI59,OUT049,3657.8125
NCG54,OUT035,2809.5
FDM44,OUT046,1633.3125
FDT57,OUT018,3460.0
FDV24,OUT046,2410.3125
FDI50,OUT019,1779.3125
FDS09,OUT035,1036.5
NCC31,OUT027,3895.3125
FDQ07,OUT019,1605.3125
FDC22,OUT017,3172.8125
FDZ56,OUT046,2692.3125
FDZ40,OUT019,-999.6875
FDS46,OUT027,3396.3125
DRD24,OUT045,2158.8125
FDV45,OUT017,3102.8125
FDL26,OUT045,2412.8125
FDA56,OUT018,1700.0
FDN27,OUT046,1912.3125
FDM20,OUT049,3978.8125
FDO16,OUT017,1454.8125
FDL03,OUT035,3306.5
FDE58,OUT046,1903.3125
FDI02,OUT027,3289.3125
NCC55,OUT019,-1232.6875
FDR03,OUT018,3053.0
FDB14,OUT017,1642.8125
FDR45,OUT013,3848.8125
NCN07,OUT017,2157.8125
FDM51,OUT019,-172.6875
FDT52,OUT027,5365.3125
FDL26,OUT046,2457.3125
NCZ42,OUT046,3764.8125
DRI47,OUT019,419.3125
FDW40,OUT013,2320.8125
FDN34,OUT046,2744.3125
FDS01,OUT035,2985.5
NCG55,OUT045,1788.3125
FDC11,OUT035,1542.5
FDX35,OUT018,3342.0
NCB06,OUT046,2517.8125
FDR09,OUT019,2190.3125
FDC53,OUT017,1672.8125
FDY45,OUT013,4070.8125
FDA22,OUT010,762.0625
FDE02,OUT035,1666.5
FDW21,OUT045,1628.8125
FDV34,OUT046,1258.3125
FDS59,OUT049,1898.8125
NCW17,OUT017,2130.8125
NCK54,OUT046,1919.8125
FDG17,OUT019,2019.3125
FDG35,OUT017,2916.8125
FDD08,OUT010,-1269.9375
NCO07,OUT017,3429.3125
FDJ10,OUT010,366.0625
FDW36,OUT017,1774.8125
FDW21,OUT010,-255.9375
FDY19,OUT017,1997.8125
DRE03,OUT013,808.8125
NCC55,OUT049,735.8125
FDH52,OUT010,-812.9375
FDO09,OUT017,4314.8125
FDU43,OUT045,3766.8125
FDX09,OUT010,854.0625
FDH40,OUT019,-512.6875
FDW58,OUT017,1801.8125
FDC47,OUT017,3673.8125
NCR41,OUT035,1666.5
DRG49,OUT035,3983.5
FDC52,OUT027,3940.3125
FDY13,OUT046,1218.3125
FDY35,OUT013,825.8125
FDI35,OUT017,2993.8125
NCU18,OUT049,2325.8125
FDY33,OUT018,2287.0
FDC15,OUT027,3924.3125
FDU01,OUT049,3120.8125
NCU42,OUT046,2680.8125
NCV29,OUT018,2525.0
NCY30,OUT017,2985.8125
FDQ46,OUT049,1890.8125
FDG58,OUT027,3945.3125
FDK33,OUT017,3483.8125
