Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1875.4860427560225
FDW14,OUT017,1591.7612740786317
NCN55,OUT010,1822.672658617003
FDQ58,OUT017,2546.362959157393
FDY38,OUT027,5087.605400109229
FDH56,OUT046,1942.6371302122488
FDL48,OUT018,680.8000272442416
FDC48,OUT027,2806.0427441358884
FDN33,OUT045,1541.2477558067708
FDA36,OUT017,3051.6757355410946
FDT44,OUT017,2004.9816551032443
FDQ56,OUT045,1358.1533406290976
NCC54,OUT019,1819.7081624356479
FDU11,OUT049,2076.75019335065
DRL59,OUT013,963.7365800429789
FDM24,OUT049,2541.571606499627
FDI57,OUT045,3047.5751030919682
DRC12,OUT018,2726.590331793125
NCM42,OUT027,3196.3220820943384
FDA46,OUT010,1129.086593209291
FDA31,OUT013,2782.853101628459
NCJ31,OUT035,3802.6708588839997
FDG52,OUT046,863.6967323629367
NCL19,OUT019,383.67497397229545
FDS10,OUT035,2986.4040703131786
FDX22,OUT010,1453.270064260273
NCF19,OUT035,998.5313152811386
NCE06,OUT046,2519.8296088661186
DRC27,OUT046,3768.666066789685
FDE21,OUT035,2044.9750562281497
NCR42,OUT019,-1251.1341145471424
FDX51,OUT018,2840.707683652796
NCR06,OUT018,510.71347688104953
FDU31,OUT027,4872.661618212023
FDU59,OUT017,2684.9378118546238
FDR03,OUT027,4667.855182836753
FDS49,OUT027,2769.5521447021088
FDD48,OUT010,-11.742853337763108
NCF18,OUT017,3083.50922136491
NCD43,OUT027,3104.4140854002503
NCD54,OUT018,2007.8274969877748
FDY19,OUT010,23.5681132465445
NCY54,OUT017,2783.24155896781
NCL19,OUT018,2023.5214175263468
FDP23,OUT010,1509.3653428274179
FDC26,OUT013,1848.5794920752423
FDR14,OUT010,-931.0749455928544
NCS41,OUT035,2986.619667600746
FDF41,OUT035,3971.33646645032
FDU34,OUT046,2004.5683173135978
DRH11,OUT046,984.1695289641877
FDM03,OUT013,1734.3034064058763
FDS31,OUT017,2964.8933269092486
FDJ20,OUT017,2116.7529678965648
FDV44,OUT027,4427.784808962078
FDG02,OUT049,3080.32827140188
