Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1509.432312918659
FDW14,OUT017,1364.0491539906104
NCN55,OUT010,542.9755395973151
FDQ58,OUT017,2384.015126168224
FDY38,OUT027,5669.163351428564
FDH56,OUT046,1874.430959859155
FDL48,OUT018,754.5960957264956
FDC48,OUT027,2513.079854666666
FDN33,OUT045,1554.0070756410255
FDA36,OUT017,3087.50751128205
FDT44,OUT017,1874.430959859155
FDQ56,OUT045,1364.0491539906104
NCC54,OUT019,542.9755395973151
FDU11,OUT049,2054.2157066202067
DRL59,OUT013,754.5960957264956
FDM24,OUT049,2384.015126168224
FDI57,OUT045,2880.969561363636
DRC12,OUT018,2880.969561363636
NCM42,OUT027,3175.335988157896
FDA46,OUT010,542.9755395973151
FDA31,OUT013,2736.9684298755183
NCJ31,OUT035,3593.1412351254503
FDG52,OUT046,754.5960957264956
NCL19,OUT019,286.41777051282025
FDS10,OUT035,2880.969561363636
FDX22,OUT010,542.9755395973151
NCF19,OUT035,754.5960957264956
NCE06,OUT046,2384.015126168224
DRC27,OUT046,4109.900606217616
FDE21,OUT035,1874.430959859155
NCR42,OUT019,130.33349056603774
FDX51,OUT018,3087.50751128205
NCR06,OUT018,637.5735090128755
FDU31,OUT027,5669.163351428564
FDU59,OUT017,2384.015126168224
FDR03,OUT027,5669.163351428564
FDS49,OUT027,2513.079854666666
FDD48,OUT010,286.41777051282025
NCF18,OUT017,2880.969561363636
NCD43,OUT027,2513.079854666666
NCD54,OUT018,1936.508247826087
FDY19,OUT010,286.41777051282025
NCY54,OUT017,2997.4076790419163
NCL19,OUT018,2346.648786938775
FDP23,OUT010,542.9755395973151
FDC26,OUT013,1722.3316111731867
FDR14,OUT010,130.33349056603774
NCS41,OUT035,3389.226979354837
FDF41,OUT035,3593.1412351254503
FDU34,OUT046,2054.2157066202067
DRH11,OUT046,876.3205797979806
FDM03,OUT013,1722.3316111731867
FDS31,OUT017,3389.226979354837
FDJ20,OUT017,2054.2157066202067
FDV44,OUT027,5669.163351428564
FDG02,OUT049,3087.50751128205
FDA09,OUT013,2736.9684298755183
FDT04,OUT013,637.5735090128755
FDL58,OUT019,542.9755395973151
FDE52,OUT045,1364.0491539906104
FDW12,OUT035,2384.015126168224
FDL51,OUT017,3753.000099363057
NCY42,OUT027,3175.335988157896
FDR07,OUT017,1554.0070756410255
FDN40,OUT045,2384.015126168224
FDB35,OUT027,2513.079854666666
FDA22,OUT017,2384.015126168224
NCL06,OUT046,4333.891515923568
FDI35,OUT013,3389.226979354837
NCW42,OUT045,3753.000099363057
NCX06,OUT049,2736.9684298755183
FDC37,OUT027,3175.335988157896
FDZ14,OUT018,1936.508247826087
DRG49,OUT049,3593.1412351254503
NCG06,OUT045,4105.140110975608
DRC36,OUT045,2997.4076790419163
FDV21,OUT019,286.41777051282025
FDB53,OUT046,2539.3942358778622
DRP47,OUT019,542.9755395973151
FDA14,OUT013,2346.648786938775
DRC24,OUT035,2539.3942358778622
FDW21,OUT018,1509.432312918659
NCH29,OUT046,1554.0070756410255
FDU58,OUT013,3087.50751128205
FDY27,OUT017,2736.9684298755183
FDV56,OUT035,1722.3316111731867
FDT59,OUT046,4109.900606217616
FDB23,OUT046,3753.000099363057
FDR49,OUT045,754.5960957264956
FDB03,OUT010,542.9755395973151
FDN39,OUT045,2811.181403212852
FDX02,OUT027,5669.163351428564
FDQ16,OUT027,3175.335988157896
FDU35,OUT018,1509.432312918659
NCT29,OUT013,1936.508247826087
FDZ27,OUT046,754.5960957264956
FDN57,OUT017,2054.2157066202067
FDA03,OUT018,2346.648786938775
FDZ36,OUT045,3389.226979354837
NCU05,OUT013,1248.223345555555
FDT39,OUT018,2346.648786938775
FDK60,OUT017,1554.0070756410255
FDZ25,OUT017,2811.181403212852
FDG12,OUT046,2202.2990201117304
DRB01,OUT019,542.9755395973151
NCC43,OUT027,5669.163351428564
FDX13,OUT019,542.9755395973151
FDM22,OUT049,876.3205797979806
FDJ03,OUT027,1378.263185276074
FDU14,OUT018,3327.9525829268287
FDB33,OUT010,384.48867398374017
FDP27,OUT046,3087.50751128205
FDO38,OUT010,130.33349056603774
FDE28,OUT027,5669.163351428564
FDO27,OUT035,1554.0070756410255
DRL23,OUT027,3175.335988157896
FDS28,OUT046,876.3205797979806
FDX24,OUT013,1248.223345555555
